,Sector,Beta,Alpha_Ann,R_squared
XLP,Consumer Staples,0.5638567870981164,0.01174507731578153,0.476161700505898
XLU,Utilities,0.5903246568571585,0.02618833804892023,0.3108039433423031
XLV,Health Care,0.7439957458655665,0.003067813934295083,0.6281139313323971
XLRE,Real Estate,0.8044164954348518,-0.025561957276106266,0.49984942744647975
XLB,Materials,0.9620697199662076,-0.018790778443847328,0.6991663833386544
XLI,Industrials,0.9747409603442937,0.009985155771963714,0.7897501558324387
XLC,Communication Services,0.9881718130680527,0.0010140253612707982,0.7528673808852184
XLE,Energy,1.0074118404886228,-0.04297641930640143,0.3747616631610009
XLF,Financials,1.0377457140862816,-0.01056149517151389,0.7183075608145036
XLY,Consumer Discretionary,1.0829138119253074,-0.0007381616512358631,0.8067696538739105
XLK,Technology,1.2350975855374857,0.05418969359769442,0.8634162695855303
